state,region
Connecticut,Northeast
Maine,Northeast
Massachusetts,Northeast
New Hampshire,Northeast
Rhode Island,Northeast
Vermont,Northeast
New Jersey,Northeast
New York,Northeast
Pennsylvania,Northeast
Alaska,West
California,West
Hawaii,West
Oregon,West
Washington,West
Arizona ,West
Colorado,West
Idaho,West
New Mexico,West
Montana,West
Utah,West
Nevada,West
Wyoming,West
Delaware,South
District of Columbia,South
Florida,South
Georgia,South
Maryland,South
North Carolina,South
South Carolina,South
Virginia,South
West Virginia,South
Alabama,South
Kentucky,South
Mississippi,South
Tennessee,South
Arkansas,South
Louisiana,South
Oklahoma,South
Texas,South
Iowa,Midwest
Nebraska,Midwest
Kansas,Midwest
North Dakota,Midwest
Minnesota,Midwest
South Dakota,Midwest
Missouri,Midwest
Indiana,Midwest
Illinois,Midwest
Michigan,Midwest
Ohio,Midwest
Wisconsin,Midwest
